,date,user_id,username,name,tweet,mentions,replies_count,retweets_count,likes_count,hashtags,reply_to,Unnamed: 0.1,token,n_frasi,n_parole_uniche,n_lettere ,n_media_parole,word_f,compound,neg,neu,pos,sentimenti
877,2022-05-26,1503953058962702336,nectarpeppervt,𓁹ꪀꫀᥴ𝕥ꪖ𝕣𓁹,𝙰𝚕𝚕 𝚠𝚑𝚒𝚕𝚎 𝚋𝚎𝚒𝚗𝚐 𝚜𝚒𝚕𝚎𝚗𝚌𝚎𝚍 𝚟𝚒𝚕𝚒𝚏𝚒𝚎𝚍 𝚋𝚢 𝚝𝚑𝚎 𝚞𝚔 𝚙𝚛𝚎𝚜𝚜 𝙵𝚔𝚗 𝚘𝚊𝚝𝚑 𝙼𝚊𝚍𝚗𝚎𝚜𝚜,[],0,0,1, abusehasnogender justiceforjohnnydepp amberheardisaliar johnnydeppamberheardtrial ,[],,"['𝙰𝚕𝚕', '𝚠𝚑𝚒𝚕𝚎', '𝚋𝚎𝚒𝚗𝚐', '𝚜𝚒𝚕𝚎𝚗𝚌𝚎𝚍', '𝚟𝚒𝚕𝚒𝚏𝚒𝚎𝚍', '𝚋𝚢', '𝚝𝚑𝚎', '𝚞𝚔', '𝚙𝚛𝚎𝚜𝚜', '𝙵𝚔𝚗', '𝚘𝚊𝚝𝚑', '𝙼𝚊𝚍𝚗𝚎𝚜𝚜']",1,12,66,4.583333333333333,,0.0,0.0,1.0,0.0,NEGATIVO
878,2022-05-26,1503953058962702336,nectarpeppervt,𓁹ꪀꫀᥴ𝕥ꪖ𝕣𓁹,𝐀𝐛𝐨𝐮𝐭 𝐟𝐮𝐜𝐤𝐢𝐧𝐠 𝐭𝐢𝐦𝐞,[],0,0,6, tmzdefendsamberheard tmz fuckery abusehasnogender justiceforjohnnydepp johnnydeppamberheardtrial ,[],,"['𝐀𝐛𝐨𝐮𝐭', '𝐟𝐮𝐜𝐤𝐢𝐧𝐠', '𝐭𝐢𝐦𝐞']",1,3,18,5.333333333333333,,0.0,0.0,1.0,0.0,NEUTRALE
879,2022-05-26,1503953058962702336,nectarpeppervt,𓁹ꪀꫀᥴ𝕥ꪖ𝕣𓁹,𝚆𝚑𝚘𝚎𝚟𝚎𝚛 𝚝𝚑𝚘𝚞𝚐𝚑𝚝 𝚘𝚝𝚑𝚎𝚛𝚠𝚒𝚜𝚎 𝚗𝚎𝚎𝚍𝚜 𝚝𝚑𝚎 𝟺𝟷𝟷 𝚘𝚗 𝚑𝚘𝚠 𝚝𝚑𝚒𝚜 𝚜𝚑𝚒𝚝 𝚠𝚘𝚛𝚔𝚜,[],0,0,2, abusehasnogender johnnydeppamberheardtrial amberturd justiceforjohnnydepp ,[],,"['𝚆𝚑𝚘𝚎𝚟𝚎𝚛', '𝚝𝚑𝚘𝚞𝚐𝚑𝚝', '𝚘𝚝𝚑𝚎𝚛𝚠𝚒𝚜𝚎', '𝚗𝚎𝚎𝚍𝚜', '𝚝𝚑𝚎', '𝟺𝟷𝟷', '𝚘𝚗', '𝚑𝚘𝚠', '𝚝𝚑𝚒𝚜', '𝚜𝚑𝚒𝚝', '𝚠𝚘𝚛𝚔𝚜']",1,11,62,4.727272727272728,,0.0,0.0,1.0,0.0,NEGATIVO
880,2022-05-26,1503953058962702336,nectarpeppervt,𓁹ꪀꫀᥴ𝕥ꪖ𝕣𓁹,sure,[],0,0,6, johnnydeppamberheardtrial ,[],,['sure'],1,1,4,4.0,,0.3182,0.0,0.0,1.0,NEUTRALE
881,2022-05-12,22594853,theemilydbaker,Emily D. Baker ⚖️ 💜,join afternoon twitterspaces conversation l time reporter anoushasakoui talk depp heard trial see soon,"[{'screen_name': 'twitterspaces', 'name': 'spaces', 'id': '1065249714214457345'}, {'screen_name': 'anoushasakoui', 'name': 'anousha', 'id': '95209789'}]",6,10,199, johnnydepp johnnydeppvsamberheardtrial ,[],,"['join', 'afternoon', 'twitterspaces', 'conversation', 'l', 'time', 'reporter', 'anoushasakoui', 'talk', 'depp', 'heard', 'trial', 'see', 'soon']",1,14,102,6.357142857142857,,0.296,0.0,0.845,0.155,NEGATIVO
882,2022-05-17,978434173819064320,barbaraem77,Babs,minute going yell fake news,[],0,0,0, deppvsheard deppheard deppvsheardtrial deppheardtrial ,[],,"['minute', 'going', 'yell', 'fake', 'news']",1,5,27,4.6,,-0.4767,0.437,0.563,0.0,POSITIVO
883,2022-05-18,978434173819064320,barbaraem77,Babs,matching bff necklace wearing much please,[],1,0,0, amberheard whitneyheard deppvsheardtrial deppvsheard deppheard johnnydeppamberheardtrial ,[],,"['matching', 'bff', 'necklace', 'wearing', 'much', 'please']",1,6,41,6.0,,0.7351,0.0,0.392,0.608,NEUTRALE
884,2022-05-18,978434173819064320,barbaraem77,Bunny Babs,matching bff necklace wearing much please,[],1,0,0, amberheard whitneyheard deppvsheardtrial deppvsheard deppheard johnnydeppamberheardtrial ,[],,"['matching', 'bff', 'necklace', 'wearing', 'much', 'please']",1,6,41,6.0,,0.7351,0.0,0.392,0.608,NEGATIVO
885,2022-05-18,978434173819064320,barbaraem77,Bunny Babs,matching bff necklace wearing much please,[],1,0,0, amberheard whitneyheard deppvsheardtrial deppvsheard deppheard johnnydeppamberheardtrial ,[],,"['matching', 'bff', 'necklace', 'wearing', 'much', 'please']",1,6,41,6.0,,0.7351,0.0,0.392,0.608,POSITIVO
886,2022-05-19,1199762542622576640,tallie_anne,Tallie Anne,moment realise lawyer let jury public opinion brought fact public believe amber heard abuser voice clip leaked,[],0,0,11, johnnydeppvsamberheard deppheard justiceforjohnnydepp ,[],,"['moment', 'realise', 'lawyer', 'let', 'jury', 'public', 'opinion', 'brought', 'fact', 'public', 'believe', 'amber', 'heard', 'abuser', 'voice', 'clip', 'leaked']",1,16,110,5.529411764705882,amber,-0.7096,0.282,0.718,0.0,POSITIVO
887,2022-05-19,1199762542622576640,tallie_anne,Tallie Anne,moment realise lawyer let jury public opinion brought fact public believe amber heard abuser voice clip leaked,[],0,0,11, johnnydeppvsamberheard deppheard justiceforjohnnydepp ,[],,"['moment', 'realise', 'lawyer', 'let', 'jury', 'public', 'opinion', 'brought', 'fact', 'public', 'believe', 'amber', 'heard', 'abuser', 'voice', 'clip', 'leaked']",1,16,110,5.529411764705882,amber,-0.7096,0.282,0.718,0.0,NEUTRALE
888,2022-05-19,1199762542622576640,tallie_anne,Tallie Anne,moment realise lawyer let jury public opinion brought fact public believe amber heard abuser voice clip leaked,[],0,0,11, johnnydeppvsamberheard deppheard justiceforjohnnydepp ,[],,"['moment', 'realise', 'lawyer', 'let', 'jury', 'public', 'opinion', 'brought', 'fact', 'public', 'believe', 'amber', 'heard', 'abuser', 'voice', 'clip', 'leaked']",1,16,110,5.529411764705882,amber,-0.7096,0.282,0.718,0.0,NEGATIVO
889,2022-05-26,1199762542622576640,tallie_anne,Tallie Anne,reel fuck dennison,[],0,0,11, johnnydeppvsamberheard deppheard johnnydeppamberheardtrial ,[],,"['reel', 'fuck', 'dennison']",1,3,18,5.333333333333333,,-0.5423,0.636,0.364,0.0,NEUTRALE
890,2022-05-26,1469091555206123520,karate_kaninen,karatekaninen,theemilydbaker fact bottle tiny writing fanatic fan depp heard trial tiny writing help teestify 🤦‍♂️🤦‍♂️ thing miss trial crazed people conspiracytheories,[],0,0,0, deppheardtrial deppvheardtrial ,"[{'screen_name': 'TheEmilyDBaker', 'name': 'Emily D. Baker ⚖️ 💜', 'id': '22594853'}]",,"['theemilydbaker', 'fact', 'bottle', 'tiny', 'writing', 'fanatic', 'fan', 'depp', 'heard', 'trial', 'tiny', 'writing', 'help', 'teestify', '🤦\u200d♂️🤦\u200d♂️', 'thing', 'miss', 'trial', 'crazed', 'people', 'conspiracytheories']",1,18,154,6.380952380952381,,0.4404,0.124,0.677,0.199,NEUTRALE
891,2022-06-06,1469091555206123520,karate_kaninen,karatekaninen,people judy saying wasnt partying try shift focus though hugging high five trial shouldnt anyone,[],1,0,0, deppvsheard deppheardtrial ,[],563.0,"['people', 'judy', 'saying', 'wasnt', 'partying', 'try', 'shift', 'focus', 'though', 'hugging', 'high', 'five', 'trial', 'shouldnt', 'anyone']",1,15,96,5.466666666666667,,0.1571,0.121,0.723,0.156,NEGATIVO
